,council_id,council_name,region_name,spend_year,spend_category,budget_GBP,actual_spend_GBP,variance_GBP,spend_per_capita_GBP,pct_budget_utilised,funding_source
SP-0039,LA005,Chesterfield Borough Council,East midlands,2021,Roads & Transport,"£9,758,175",6354400,,60.75,,City Deal
SP-0040,LA005,Chesterfield Borough Council,East Midlands,2023,Roads & Transport,38118545,"£29,633,000",-8485545,283.3,77.7,Levelling Up Fund
SP-0041,LA005,Chesterfield Borough Council,East Midlands,2022,Housing & Planning,29351926,,-6162226,221.7,79,EU Structural Funds
SP-0042,LA005,Chesterfield Borough Council,East Midlands,2021,Housing & Planning,32586462,43347700,10761238,414.41,133,City Deal
SP-0043,LA005,Chesterfield Borough Council,East Midlands,2022,Flood & Drainage,7729982,"£10,158,400",2428418,97.12,131.4,EU Structural Funds
SP-0044,LA005,Chesterfield Borough Council,East Midlands,2019,Parks & Green Spaces,"£35,835,369",,2369631,365.25,106.6,Levelling Up Fund
SP-0045,LA005,Chesterfield Borough Council,East Midlands,2020,Waste Management,18929184,19817200,,189.46,104.7,EU Structural Funds
SP-0046,LA005,Chesterfield Borough Council,East Midlands,2023,Waste Management,37452421,48682200,11229779,465.41,,Central Government Grant
SP-0047,LA005,Chesterfield Borough Council,East Midlands,2019,Digital Infrastructure,"£31,177,966","£38,702,000",7524034,370,,Levelling Up Fund
SP-0048,LA005,Chesterfield Borough Council,East Midlands,2021,Energy & Utilities,"£27,012,777",27924500,911723,266.96,,Combined Authority
SP-0049,LA006,Lincoln City Council,East Midlands,2023,Roads & Transport,14454521,16610700,2156179,,114.9,City Deal
SP-0050,LA006,Lincoln City Council,East Midlands,2020,Roads & Transport,"£8,622,197",,,101.64,117.6,Combined Authority
SP-0051,LA006,Lincoln City Council,East Midlands,2021,Housing & Planning,36312436,"£40,549,100",4236664,,111.7,Private Finance Initiative
SP-0052,LA006,Lincoln City Council,East Midlands,2019,Flood & Drainage,20357506,18900500,-1457006,189.38,92.8,Combined Authority
SP-0053,LA006,Lincoln City Council,East Midlands,2023,Flood & Drainage,13383418,12021800,-1361618,120.46,89.8,Levelling Up Fund
SP-0054,LA006,Lincoln City Council,EAST MIDLANDS,2020,Parks & Green Spaces,30011391,31190300,1178909,,103.9,Combined Authority
SP-0055,LA006,Lincoln City Council,East Midlands,2023,Parks & Green Spaces,21691123,17492600,,175.28,80.6,Central Government Grant
SP-0056,LA006,Lincoln City Council,East Midlands,2019,Waste Management,5155016,6868800,1713784,68.83,133.2,Levelling Up Fund
SP-0057,LA006,Lincoln City Council,East Midlands,2023,Waste Management,25276283,27628700,,276.84,109.3,EU Structural Funds
SP-0058,LA006,Lincoln City Council,East Midlands,2020,Digital Infrastructure,32667607,42464300,9796693,425.49,130,City Deal
SP-0059,LA006,Lincoln City Council,East Midlands,2019,Digital Infrastructure,18180189,18496400,316211,185.33,101.7,Central Government Grant
SP-0060,LA006,Lincoln City Council,East Midlands,2019,Energy & Utilities,5829780,7619100,1789320,76.34,130.7,Local Authority Budget
SP-0061,LA006,Lincoln City Council,East Midlands,2023,Energy & Utilities,2128146,1643900,-484246,16.47,77.2,EU Structural Funds
SP-0062,LA007,Mansfield District Council,East Midlands,2019,Roads & Transport,18501819,20539100,2037281,190.53,111,Local Authority Budget
SP-0063,LA007,Mansfield District Council,East midlands,2019,Housing & Planning,"£22,782,631",21842300,-940331,202.62,95.9,City Deal
SP-0064,LA007,Mansfield District Council,East Midlands,2022,Flood & Drainage,862044,"£1,139,000",276956,10.57,132.1,Combined Authority
SP-0065,LA007,Mansfield District Council,East Midlands,2020,Flood & Drainage,36826646,26713300,-10113346,247.8,72.5,City Deal
SP-0066,LA007,Mansfield District Council,East midlands,2021,Parks & Green Spaces,43329332,51707200,8377868,479.66,119.3,Local Authority Budget
SP-0067,LA007,Mansfield District Council,EAST MIDLANDS,2023,Waste Management,39023906,,-3444106,330.05,,Combined Authority
SP-0068,LA007,Mansfield District Council,East Midlands,2022,Digital Infrastructure,"£28,966,414",,7560986,338.84,126.1,City Deal
SP-0069,LA007,Mansfield District Council,East Midlands,2020,Energy & Utilities,13473775,16326100,2852325,151.45,121.2,City Deal
SP-0070,LA008,Kettering Borough Council,East Midlands,2021,Roads & Transport,"£32,940,299",43009800,10069501,415.96,130.6,EU Structural Funds
SP-0071,LA008,Kettering Borough Council,East Midlands,2019,Roads & Transport,"£3,579,492","£3,622,000",42508,35.03,101.2,EU Structural Funds
SP-0072,LA008,Kettering Borough Council,East Midlands,2021,Housing & Planning,25052774,20621600,-4431174,199.44,82.3,Combined Authority
SP-0073,LA008,Kettering Borough Council,EAST MIDLANDS,2019,Flood & Drainage,26635889,22510200,-4125689,217.7,84.5,Levelling Up Fund
SP-0074,LA008,Kettering Borough Council,East Midlands,2019,Parks & Green Spaces,8693672,10911500,,105.53,125.5,Levelling Up Fund
SP-0075,LA008,Kettering Borough Council,East midlands,2022,Waste Management,11166623,12754800,,123.35,114.2,Private Finance Initiative
SP-0076,LA008,Kettering Borough Council,East Midlands,2020,Waste Management,44012019,54367200,10355181,525.79,123.5,Central Government Grant
SP-0077,LA008,Kettering Borough Council,East Midlands,2022,Digital Infrastructure,"£29,128,815",23106300,-6022515,,79.3,Combined Authority
SP-0078,LA008,Kettering Borough Council,East Midlands,2023,Energy & Utilities,"£26,152,928",30278700,4125772,292.83,115.8,Local Authority Budget
SP-0079,LA009,Wellingborough Borough Council,East Midlands,2022,Roads & Transport,38694001,29317500,-9376501,359.72,75.8,Mixed Funding
SP-0080,LA009,Wellingborough Borough Council,EAST MIDLANDS,2023,Roads & Transport,"£2,050,939",1995600,,24.49,97.3,Mixed Funding
SP-0081,LA009,Wellingborough Borough Council,East Midlands,2023,Housing & Planning,14538033,"£11,198,900",-3339133,137.41,77,Local Authority Budget
SP-0082,LA009,Wellingborough Borough Council,East Midlands,2021,Housing & Planning,37019819,43924900,6905081,538.96,118.7,Local Authority Budget
SP-0083,LA009,Wellingborough Borough Council,East Midlands,2023,Flood & Drainage,11304972,10892300,-412672,133.65,96.3,Levelling Up Fund
SP-0084,LA009,Wellingborough Borough Council,East Midlands,2021,Parks & Green Spaces,36643162,45353700,8710538,,123.8,Central Government Grant
SP-0085,LA009,Wellingborough Borough Council,East Midlands,2019,Parks & Green Spaces,"£20,321,413",23555400,3233987,289.02,115.9,City Deal
SP-0086,LA009,Wellingborough Borough Council,East Midlands,2022,Waste Management,7904370,8244900,340530,101.16,104.3,Levelling Up Fund
SP-0087,LA009,Wellingborough Borough Council,East Midlands,2021,Waste Management,44285145,"£51,128,100",,627.34,115.5,Combined Authority
SP-0088,LA009,Wellingborough Borough Council,East Midlands,2020,Digital Infrastructure,"£2,849,432",2399100,-450332,29.44,84.2,City Deal
SP-0089,LA009,Wellingborough Borough Council,East Midlands,2023,Energy & Utilities,"£21,954,013",20669800,-1284213,253.62,94.2,Mixed Funding
SP-0090,LA009,Wellingborough Borough Council,East Midlands,2021,Energy & Utilities,38961928,,-3481728,435.34,,City Deal
SP-0091,LA010,Hinckley and Bosworth Borough Council,East Midlands ,2021,Roads & Transport,39349227,36888000,-2461227,329.36,93.7,Mixed Funding
SP-0092,LA010,Hinckley and Bosworth Borough Council,East midlands,2021,Housing & Planning,18279582,23069600,4790018,205.98,126.2,EU Structural Funds
SP-0093,LA010,Hinckley and Bosworth Borough Council,East Midlands,2019,Housing & Planning,43478833,35127800,-8351033,313.64,80.8,Levelling Up Fund
SP-0094,LA010,Hinckley and Bosworth Borough Council,East Midlands,2022,Flood & Drainage,33417111,,-10998711,200.16,67.1,EU Structural Funds
SP-0095,LA010,Hinckley and Bosworth Borough Council,East Midlands,2020,Parks & Green Spaces,4743085,5888600,1145515,52.58,124.2,Local Authority Budget
SP-0096,LA010,Hinckley and Bosworth Borough Council,East midlands,2019,Waste Management,"£17,325,928",11479600,-5846328,102.5,66.3,Local Authority Budget
SP-0097,LA010,Hinckley and Bosworth Borough Council,East Midlands,2021,Digital Infrastructure,40221693,28380600,-11841093,253.4,70.6,City Deal
SP-0098,LA010,Hinckley and Bosworth Borough Council,East Midlands,2019,Energy & Utilities,"£11,208,940",12183800,974860,108.78,108.7,Private Finance Initiative
SP-0099,LA011,Blaby District Council,East Midlands ,2023,Roads & Transport,25053321,,5685679,312.07,122.7,Mixed Funding
SP-0100,LA011,Blaby District Council,East Midlands,2022,Housing & Planning,13374832,13306300,-68532,135.09,99.5,EU Structural Funds
SP-0101,LA011,Blaby District Council,East Midlands,2020,Flood & Drainage,27537046,35678200,8141154,362.22,129.6,Private Finance Initiative
SP-0102,LA011,Blaby District Council,East Midlands,2019,Parks & Green Spaces,25191701,18785100,-6406601,190.71,74.6,Combined Authority
SP-0103,LA011,Blaby District Council,East Midlands,2022,Waste Management,"£30,202,059",,10555641,413.78,134.9,City Deal
SP-0104,LA011,Blaby District Council,EAST MIDLANDS,2021,Digital Infrastructure,30688686,39916400,9227714,405.24,130.1,Mixed Funding
SP-0105,LA011,Blaby District Council,East Midlands,2021,Energy & Utilities,39832455,51454300,11621845,522.38,129.2,Local Authority Budget
SP-0106,LA012,Melton Borough Council,East Midlands ,2021,Roads & Transport,15418880,14598500,-820380,285.13,94.7,Combined Authority
SP-0107,LA012,Melton Borough Council,East Midlands,2022,Roads & Transport,42268588,,-10705688,616.46,74.7,Central Government Grant
SP-0108,LA012,Melton Borough Council,East Midlands,2019,Housing & Planning,24224030,23388700,-835330,456.81,96.6,Mixed Funding
SP-0109,LA012,Melton Borough Council,East midlands,2022,Flood & Drainage,44884692,37377300,-7507392,730.03,83.3,Central Government Grant
SP-0110,LA012,Melton Borough Council,East Midlands,2022,Parks & Green Spaces,16114412,"£20,525,200",4410788,400.88,127.4,EU Structural Funds
SP-0111,LA012,Melton Borough Council,East Midlands,2021,Waste Management,"£12,172,334",14727800,2555466,287.65,121,City Deal
SP-0112,LA012,Melton Borough Council,East Midlands,2021,Digital Infrastructure,4255998,,59302,84.28,101.4,Central Government Grant
SP-0113,LA012,Melton Borough Council,East Midlands,2023,Energy & Utilities,10258980,8280300,-1978680,161.72,80.7,Combined Authority
SP-0114,LA013,South Kesteven District Council,East Midlands,2020,Roads & Transport,4827120,5394100,566980,37.99,111.7,Mixed Funding
SP-0115,LA013,South Kesteven District Council,East Midlands,2020,Housing & Planning,40719670,37068900,-3650770,261.05,91,Mixed Funding
SP-0116,LA013,South Kesteven District Council,East Midlands,2022,Flood & Drainage,"£36,621,600",,11962200,342.14,,EU Structural Funds
SP-0117,LA013,South Kesteven District Council,East Midlands,2021,Parks & Green Spaces,13214774,14152900,938126,99.67,107.1,Central Government Grant
SP-0118,LA013,South Kesteven District Council,East Midlands,2020,Waste Management,44919272,50866600,5947328,358.22,113.2,Private Finance Initiative
SP-0119,LA013,South Kesteven District Council,East Midlands,2023,Waste Management,38384912,46306200,7921288,326.1,120.6,Central Government Grant
SP-0120,LA013,South Kesteven District Council,East Midlands,2019,Digital Infrastructure,22278685,24234100,1955415,170.66,108.8,Private Finance Initiative
SP-0121,LA013,South Kesteven District Council,East Midlands,2021,Energy & Utilities,27051237,,,190.36,,Local Authority Budget
SP-0122,LA014,Newark and Sherwood District Council,East Midlands,2020,Roads & Transport,13502239,,-4220539,,,EU Structural Funds
SP-0123,LA014,Newark and Sherwood District Council,East Midlands,2019,Housing & Planning,25098370,20017000,-5081370,166.25,79.8,Central Government Grant
SP-0124,LA014,Newark and Sherwood District Council,East Midlands,2020,Flood & Drainage,6194111,5609800,-584311,46.59,90.6,Central Government Grant
SP-0125,LA014,Newark and Sherwood District Council,East Midlands,2020,Parks & Green Spaces,3509297,4606700,1097403,38.26,131.3,Local Authority Budget
SP-0126,LA014,Newark and Sherwood District Council,East Midlands,2021,Waste Management,33617426,,-11324926,185.15,66.3,Mixed Funding
SP-0127,LA014,Newark and Sherwood District Council,East Midlands,2019,Digital Infrastructure,31000841,35119900,4119059,291.69,113.3,Private Finance Initiative
SP-0128,LA014,Newark and Sherwood District Council,East Midlands ,2020,Digital Infrastructure,27073570,"£31,771,700",4698130,,117.4,Local Authority Budget
SP-0129,LA014,Newark and Sherwood District Council,East Midlands,2021,Energy & Utilities,"£39,674,377","£48,330,400",8656023,,121.8,Combined Authority
SP-0130,LA015,Broxtowe Borough Council,East midlands,2023,Roads & Transport,17061159,15806800,-1254359,,92.6,EU Structural Funds
SP-0131,LA015,Broxtowe Borough Council,East Midlands,2021,Roads & Transport,1380187,,-327187,9.37,76.3,City Deal
SP-0132,LA015,Broxtowe Borough Council,East Midlands,2019,Housing & Planning,24987839,25779000,791161,229.35,103.2,Levelling Up Fund
SP-0133,LA015,Broxtowe Borough Council,East Midlands,2021,Housing & Planning,26990622,26944000,-46622,239.72,99.8,Mixed Funding
SP-0134,LA015,Broxtowe Borough Council,East Midlands,2020,Flood & Drainage,19566468,"£24,615,800",,219,125.8,Private Finance Initiative
SP-0135,LA015,Broxtowe Borough Council,East Midlands,2023,Flood & Drainage,10296802,,3461598,122.41,133.6,EU Structural Funds
SP-0136,LA015,Broxtowe Borough Council,East Midlands,2023,Parks & Green Spaces,43023858,50540400,7516542,449.65,117.5,Private Finance Initiative
SP-0137,LA015,Broxtowe Borough Council,East Midlands,2021,Parks & Green Spaces,"£9,082,498",6464500,-2617998,57.51,71.2,EU Structural Funds
SP-0138,LA015,Broxtowe Borough Council,East Midlands,2020,Waste Management,17056644,"£22,293,600",,198.34,130.7,Private Finance Initiative
SP-0139,LA015,Broxtowe Borough Council,East Midlands,2023,Waste Management,30450010,27626000,,245.78,90.7,City Deal
SP-0140,LA015,Broxtowe Borough Council,East Midlands,2020,Digital Infrastructure,13685455,9473500,-4211955,84.28,69.2,Mixed Funding
SP-0141,LA015,Broxtowe Borough Council,East Midlands,2022,Digital Infrastructure,22216798,24650100,2433302,219.31,111,EU Structural Funds
SP-0142,LA015,Broxtowe Borough Council,East midlands,2022,Energy & Utilities,19532497,,-4625897,132.62,,Mixed Funding
SP-0143,LA016,Gedling Borough Council,East Midlands,2019,Roads & Transport,4412464,5809700,,49.03,131.7,City Deal
SP-0144,LA016,Gedling Borough Council,East Midlands,2020,Housing & Planning,26807004,,,293.53,129.8,Local Authority Budget
SP-0145,LA016,Gedling Borough Council,East Midlands ,2022,Flood & Drainage,44368876,58731600,14362724,495.63,132.4,Levelling Up Fund
SP-0146,LA016,Gedling Borough Council,East Midlands,2020,Parks & Green Spaces,18901734,,1198866,169.63,106.3,EU Structural Funds
SP-0147,LA016,Gedling Borough Council,East Midlands,2019,Parks & Green Spaces,5992598,5692900,-299698,48.04,,Private Finance Initiative
SP-0148,LA016,Gedling Borough Council,East Midlands,2020,Waste Management,9401596,7975400,-1426196,67.3,84.8,EU Structural Funds
SP-0149,LA016,Gedling Borough Council,East Midlands,2019,Digital Infrastructure,5675361,5207300,-468061,43.94,91.8,Private Finance Initiative
SP-0150,LA016,Gedling Borough Council,East Midlands,2021,Digital Infrastructure,7880076,,-885076,59.03,88.8,City Deal
SP-0151,LA016,Gedling Borough Council,EAST MIDLANDS,2022,Energy & Utilities,10487424,"£7,188,500",-3298924,60.66,68.5,Central Government Grant
SP-0152,LA017,Norwich City Council,East of England,2023,Roads & Transport,38481281,36663700,-1817581,,95.3,Central Government Grant
SP-0153,LA017,Norwich City Council,East of England,2019,Housing & Planning,"£13,979,511",,-3597911,48.13,74.3,Levelling Up Fund
SP-0154,LA017,Norwich City Council,East of England,2021,Housing & Planning,13543451,18152700,4609249,84.16,134,Levelling Up Fund
SP-0155,LA017,Norwich City Council,East of England,2019,Flood & Drainage,9273191,11131000,1857809,51.6,120,City Deal
SP-0156,LA017,Norwich City Council,East of England,2019,Parks & Green Spaces,14933877,11759100,,54.52,78.7,City Deal
SP-0157,LA017,Norwich City Council,East of England,2019,Waste Management,44394945,33974400,-10420545,157.51,76.5,EU Structural Funds
SP-0158,LA017,Norwich City Council,East of England,2021,Digital Infrastructure,27870400,34482900,6612500,159.87,123.7,Central Government Grant
SP-0159,LA017,Norwich City Council,East of England,2021,Energy & Utilities,8488976,11365900,2876924,52.69,133.9,Private Finance Initiative
SP-0160,LA017,Norwich City Council,East Of England,2023,Energy & Utilities,38988555,26046000,-12942555,120.75,66.8,Mixed Funding
SP-0161,LA018,Ipswich Borough Council,East of England,2023,Roads & Transport,19191674,16483500,-2708174,119.79,85.9,Levelling Up Fund
SP-0162,LA018,Ipswich Borough Council,East of England,2019,Housing & Planning,30239009,34277100,,249.11,113.4,EU Structural Funds
SP-0163,LA018,Ipswich Borough Council,Eastern England,2022,Flood & Drainage,14708507,13886600,-821907,100.92,94.4,Private Finance Initiative
SP-0164,LA018,Ipswich Borough Council,East of England,2020,Flood & Drainage,"£19,727,131",24198200,4471069,175.86,122.7,Central Government Grant
SP-0165,LA018,Ipswich Borough Council,East of England,2020,Parks & Green Spaces,44872400,53465100,8592700,388.55,119.1,Combined Authority
SP-0166,LA018,Ipswich Borough Council,East of England,2021,Parks & Green Spaces,28790430,38812700,,282.07,134.8,Levelling Up Fund
SP-0167,LA018,Ipswich Borough Council,East of England,2021,Waste Management,24559663,30398200,5838537,220.92,,Combined Authority
SP-0168,LA018,Ipswich Borough Council,East of England,2019,Digital Infrastructure,"£21,900,505",28539800,6639295,207.41,130.3,City Deal
SP-0169,LA018,Ipswich Borough Council,East of England,2023,Energy & Utilities,37040452,26738100,-10302352,194.32,72.2,Private Finance Initiative
SP-0170,LA019,Cambridge City Council,East of England,2022,Roads & Transport,8578475,8249500,-328975,,96.2,Mixed Funding
SP-0171,LA019,Cambridge City Council,East of England,2020,Housing & Planning,"£17,677,700","£11,879,500",-5798200,90.13,67.2,Combined Authority
SP-0172,LA019,Cambridge City Council,East of England,2021,Housing & Planning,23834837,18906300,-4928537,143.45,79.3,Central Government Grant
SP-0173,LA019,Cambridge City Council,East of England,2019,Flood & Drainage,"£8,683,086","£7,200,100",-1482986,54.63,82.9,City Deal
SP-0174,LA019,Cambridge City Council,East of England,2020,Parks & Green Spaces,10394236,,2368464,96.83,122.8,Mixed Funding
SP-0175,LA019,Cambridge City Council,East Of England,2019,Waste Management,44408449,"£59,935,000",15526551,,135,Local Authority Budget
SP-0176,LA019,Cambridge City Council,East of England,2020,Digital Infrastructure,20032237,22441200,2408963,170.27,,Levelling Up Fund
SP-0177,LA019,Cambridge City Council,East of England,2019,Energy & Utilities,6965890,"£6,176,300",-789590,46.86,88.7,Levelling Up Fund
SP-0178,LA020,Luton Borough Council,East of England,2021,Roads & Transport,10537987,"£7,903,600",-2634387,35.08,75,Central Government Grant
SP-0179,LA020,Luton Borough Council,East of England,2021,Housing & Planning,14771335,,-1629735,58.33,89,Local Authority Budget
SP-0180,LA020,Luton Borough Council,East of England,2023,Flood & Drainage,19973943,"£24,228,900",4254957,107.54,121.3,Private Finance Initiative
SP-0181,LA020,Luton Borough Council,East of England,2023,Parks & Green Spaces,7161781,9597300,2435519,42.6,134,Local Authority Budget
SP-0182,LA020,Luton Borough Council,East of England ,2021,Waste Management,4660447,3851700,-808747,17.1,82.6,City Deal
SP-0183,LA020,Luton Borough Council,East of England,2020,Digital Infrastructure,26765504,24197600,-2567904,107.4,90.4,City Deal
SP-0184,LA020,Luton Borough Council,East of England ,2020,Energy & Utilities,"£44,928,949",36769300,-8159649,163.2,81.8,Local Authority Budget
SP-0185,LA021,Peterborough City Council,Eastern England,2020,Roads & Transport,11887962,15259500,3371538,71.78,128.4,City Deal
SP-0186,LA021,Peterborough City Council,Eastern England,2020,Housing & Planning,33207169,40947200,7740031,192.6,123.3,Combined Authority
SP-0187,LA021,Peterborough City Council,East of England,2019,Flood & Drainage,15613702,12648700,-2965002,59.5,81,EU Structural Funds
SP-0188,LA021,Peterborough City Council,East of England,2019,Parks & Green Spaces,"£38,028,732",,,198.97,111.2,Local Authority Budget
SP-0189,LA021,Peterborough City Council,East of England,2023,Waste Management,36202938,28361300,-7841638,133.4,78.3,Combined Authority
SP-0190,LA021,Peterborough City Council,East of England,2021,Digital Infrastructure,22774645,29161600,6386955,137.17,128,EU Structural Funds
SP-0191,LA021,Peterborough City Council,East of England,2020,Digital Infrastructure,29408998,"£23,327,000",-6081998,109.72,79.3,Private Finance Initiative
SP-0192,LA021,Peterborough City Council,East of England,2020,Energy & Utilities,2189237,2955400,766163,13.9,135,EU Structural Funds
SP-0193,LA021,Peterborough City Council,East of England,2021,Energy & Utilities,"£7,603,505",8351100,747595,39.28,109.8,Local Authority Budget
SP-0194,LA022,Southend-on-Sea Borough Council,East Of England,2022,Roads & Transport,24696201,"£17,922,700",-6773501,97.83,72.6,Central Government Grant
SP-0195,LA022,Southend-on-Sea Borough Council,East of England,2022,housing & planning,34306700,26000600,-8306100,141.92,75.8,City Deal
SP-0196,LA022,Southend-on-Sea Borough Council,East of England,2021,Flood & Drainage,"£34,891,195","£31,108,900",-3782295,169.81,89.2,Central Government Grant
SP-0197,LA022,Southend-on-Sea Borough Council,East of England ,2019,Parks & Green Spaces,20124351,14419100,-5705251,78.71,71.6,City Deal
SP-0198,LA022,Southend-on-Sea Borough Council,East of England ,2023,Waste Management,42981100,52254500,9273400,,121.6,Central Government Grant
SP-0199,LA022,Southend-on-Sea Borough Council,East of England,2020,Digital Infrastructure,19913209,,6717491,145.36,133.7,City Deal
SP-0200,LA022,Southend-on-Sea Borough Council,East of England,2021,Energy & Utilities,27738828,33204300,5465472,181.25,119.7,EU Structural Funds
SP-0201,LA023,Thurrock Council,Eastern England,2021,Roads & Transport,7797957,8262700,464743,,106,Combined Authority
SP-0202,LA023,Thurrock Council,East Of England,2021,Housing & Planning,13700965,18069200,,105.05,131.9,EU Structural Funds
SP-0203,LA023,Thurrock Council,East of England,2023,Flood & Drainage,"£8,931,005",8946500,15495,52.01,100.2,Central Government Grant
SP-0204,LA023,Thurrock Council,East of England,2022,Parks & Green Spaces,2647280,2027600,-619680,11.79,,Mixed Funding
SP-0205,LA023,Thurrock Council,East Of England,2020,Waste Management,5890641,"£5,054,700",-835941,29.39,85.8,City Deal
SP-0206,LA023,Thurrock Council,East of England,2020,Digital Infrastructure,29412506,29845100,432594,173.52,101.5,Private Finance Initiative
SP-0207,LA023,Thurrock Council,East of England ,2021,Energy & Utilities,"£41,001,706",32678900,-8322806,189.99,,EU Structural Funds
SP-0208,LA024,Chelmsford City Council,East Of England,2019,Roads & Transport,22529738,"£22,675,500",,125.77,,EU Structural Funds
SP-0209,LA024,Chelmsford City Council,East of England,2020,Housing & Planning,4546587,3425700,-1120887,19,75.3,Mixed Funding
SP-0210,LA024,Chelmsford City Council,East of England,2022,Flood & Drainage,44006988,44724500,717512,248.06,101.6,EU Structural Funds
SP-0211,LA024,Chelmsford City Council,Eastern England,2020,Parks & Green Spaces,13104401,9896600,-3207801,54.89,75.5,Private Finance Initiative
