spend_id,council_id,council_name,region_name,spend_year,spend_category,budget_GBP,actual_spend_GBP,variance_GBP,pct_budget_utilised,spend_per_capita_GBP,funding_source
SP-0109,LA012,Melton Borough Council,East Midlands,2022,Flood & Drainage,44884692,37377300,-7507392,83.3,730.03,Central Government Grant
SP-0110,LA012,Melton Borough Council,East Midlands,2022,Parks & Green Spaces,16114412,20525200,4410788,127.4,400.88,EU Structural Funds
SP-0111,LA012,Melton Borough Council,East Midlands,2021,Waste Management,12172334,14727800,2555466,121,287.65,City Deal
SP-0112,LA012,Melton Borough Council,East Midlands,2021,Digital Infrastructure,4255998,4315300,59302,101.4,84.28,Central Government Grant
SP-0113,LA012,Melton Borough Council,East Midlands,2023,Energy & Utilities,10258980,8280300,-1978680,80.7,161.72,Combined Authority
SP-0114,LA013,South Kesteven District Council,East Midlands,2020,Roads & Transport,4827120,5394100,566980,111.7,37.99,Mixed Funding
SP-0115,LA013,South Kesteven District Council,East Midlands,2020,Housing & Planning,40719670,37068900,-3650770,91,261.05,Mixed Funding
SP-0116,LA013,South Kesteven District Council,East Midlands,2022,Flood & Drainage,36621600,48583800,11962200,132.7,342.14,EU Structural Funds
SP-0117,LA013,South Kesteven District Council,East Midlands,2021,Parks & Green Spaces,13214774,14152900,938126,107.1,99.67,Central Government Grant
SP-0118,LA013,South Kesteven District Council,East Midlands,2020,Waste Management,44919272,50866600,5947328,113.2,358.22,Private Finance Initiative
SP-0119,LA013,South Kesteven District Council,East Midlands,2023,Waste Management,38384912,46306200,7921288,120.6,326.1,Central Government Grant
SP-0120,LA013,South Kesteven District Council,East Midlands,2019,Digital Infrastructure,22278685,24234100,1955415,108.8,170.66,Private Finance Initiative
SP-0121,LA013,South Kesteven District Council,East Midlands,2021,Energy & Utilities,27051237,NULL,NULL,NULL,190.36,Local Authority Budget
SP-0173,LA019,Cambridge City Council,East of England,2019,Flood & Drainage,8683086,7200100,-1482986,82.9,54.63,City Deal
SP-0174,LA019,Cambridge City Council,East of England,2020,Parks & Green Spaces,10394236,12762700,2368464,122.8,96.83,Mixed Funding
SP-0175,LA019,Cambridge City Council,East of England,2019,Waste Management,44408449,59935000,15526551,135,454.74,Local Authority Budget
SP-0176,LA019,Cambridge City Council,East of England,2020,Digital Infrastructure,20032237,22441200,2408963,112,170.27,Levelling Up Fund
SP-0177,LA019,Cambridge City Council,East of England,2019,Energy & Utilities,6965890,6176300,-789590,88.7,46.86,Levelling Up Fund
SP-0172,LA019,Cambridge City Council,East of England,2021,Housing & Planning,23834837,18906300,-4928537,79.3,143.45,Central Government Grant
SP-0170,LA019,Cambridge City Council,East of England,2022,Roads & Transport,8578475,8249500,-328975,96.2,62.59,Mixed Funding
SP-0171,LA019,Cambridge City Council,East of England,2020,Housing & Planning,17677700,11879500,-5798200,67.2,90.13,Combined Authority
SP-0185,LA021,Peterborough City Council,East of England,2020,Roads & Transport,11887962,15259500,3371538,128.4,71.78,City Deal
SP-0186,LA021,Peterborough City Council,East of England,2020,Housing & Planning,33207169,40947200,7740031,123.3,192.6,Combined Authority
SP-0187,LA021,Peterborough City Council,East of England,2019,Flood & Drainage,15613702,12648700,-2965002,81,59.5,EU Structural Funds
SP-0188,LA021,Peterborough City Council,East of England,2019,Parks & Green Spaces,38028732,42287949.98,4259217.98,111.2,198.97,Local Authority Budget
SP-0189,LA021,Peterborough City Council,East of England,2023,Waste Management,36202938,28361300,-7841638,78.3,133.4,Combined Authority
SP-0190,LA021,Peterborough City Council,East of England,2021,Digital Infrastructure,22774645,29161600,6386955,128,137.17,EU Structural Funds
SP-0191,LA021,Peterborough City Council,East of England,2020,Digital Infrastructure,29408998,23327000,-6081998,79.3,109.72,Private Finance Initiative
SP-0192,LA021,Peterborough City Council,East of England,2020,Energy & Utilities,2189237,2955400,766163,135,13.9,EU Structural Funds
SP-0193,LA021,Peterborough City Council,East of England,2021,Energy & Utilities,7603505,8351100,747595,109.8,39.28,Local Authority Budget
SP-0194,LA022,Southend-on-Sea Borough Council,East of England,2022,Roads & Transport,24696201,17922700,-6773501,72.6,97.83,Central Government Grant
SP-0195,LA022,Southend-on-Sea Borough Council,East of England,2022,housing & planning,34306700,26000600,-8306100,75.8,141.92,City Deal
SP-0196,LA022,Southend-on-Sea Borough Council,East of England,2021,Flood & Drainage,34891195,31108900,-3782295,89.2,169.81,Central Government Grant
SP-0197,LA022,Southend-on-Sea Borough Council,East of England,2019,Parks & Green Spaces,20124351,14419100,-5705251,71.6,78.71,City Deal
SP-0198,LA022,Southend-on-Sea Borough Council,East of England,2023,Waste Management,42981100,52254500,9273400,121.6,285.23,Central Government Grant
SP-0199,LA022,Southend-on-Sea Borough Council,East of England,2020,Digital Infrastructure,19913209,26630700,6717491,133.7,145.36,City Deal
SP-0200,LA022,Southend-on-Sea Borough Council,East of England,2021,Energy & Utilities,27738828,33204300,5465472,119.7,181.25,EU Structural Funds
SP-0232,LA027,Basildon Borough Council,East of England,2022,Roads & Transport,23828553,26132900,2304347,109.7,139.9,Combined Authority
SP-0233,LA027,Basildon Borough Council,East of England,2021,Roads & Transport,17356298,16234000,-1122298,93.5,86.91,EU Structural Funds
SP-0234,LA027,Basildon Borough Council,East of England,2021,Housing & Planning,43937001,32613500,-11323501,74.2,174.59,Combined Authority
SP-0235,LA027,Basildon Borough Council,East of England,2020,Flood & Drainage,26651902,25331300,-1320602,95,135.61,Combined Authority
SP-0236,LA027,Basildon Borough Council,East of England,2019,Parks & Green Spaces,4968051,5867500,899449,118.1,31.41,Mixed Funding
SP-0237,LA027,Basildon Borough Council,East of England,2021,Waste Management,43510982,42460600,-1050382,97.6,227.31,Levelling Up Fund
SP-0238,LA027,Basildon Borough Council,East of England,2019,Digital Infrastructure,41111004,50739100,9628096,123.4,271.62,Combined Authority
SP-0239,LA027,Basildon Borough Council,East of England,2022,Energy & Utilities,42292465,56846200,14553735,134.4,304.32,Local Authority Budget
SP-0240,LA028,Harlow District Council,East of England,2021,Roads & Transport,6574358,4840000,-1734358,73.6,52.44,Levelling Up Fund
SP-0241,LA028,Harlow District Council,East of England,2020,Housing & Planning,31349929,38563000,7213071,123,417.8,Local Authority Budget
SP-0242,LA028,Harlow District Council,East of England,2023,Flood & Drainage,32738300,27515400,-5222900,84,298.11,Mixed Funding
SP-0243,LA028,Harlow District Council,East of England,2019,Flood & Drainage,3692589,3646200,-46389,98.7,39.5,Local Authority Budget
SP-0244,LA028,Harlow District Council,East of England,2022,Parks & Green Spaces,31327780,33507600,2179820,107,363.03,Levelling Up Fund
SP-0245,LA028,Harlow District Council,East of England,2023,Waste Management,5134952,4715100,-419852,91.8,51.08,EU Structural Funds
SP-0246,LA028,Harlow District Council,East of England,2023,Digital Infrastructure,32262033,35575500,3313467,110.3,385.43,City Deal
SP-0247,LA028,Harlow District Council,East of England,2023,Energy & Utilities,18042745,12527200,-5515545,69.4,135.72,Levelling Up Fund
SP-0248,LA028,Harlow District Council,East of England,2021,Energy & Utilities,5677919,3724000,-1953919,65.6,40.35,Local Authority Budget
SP-0249,LA029,Stevenage Borough Council,East of England,2020,Roads & Transport,14984812,16124200,1139388,107.6,180.76,EU Structural Funds
SP-0250,LA029,Stevenage Borough Council,East of England,2019,Housing & Planning,35336630,34031200,-1305430,96.3,381.52,EU Structural Funds
SP-0251,LA029,Stevenage Borough Council,East of England,2023,Housing & Planning,17455414,21190900,3735486,121.4,237.57,City Deal
SP-0252,LA029,Stevenage Borough Council,East of England,2019,Flood & Drainage,31429746,23243800,-8185946,74,260.58,Local Authority Budget
SP-0253,LA029,Stevenage Borough Council,East of England,2019,Parks & Green Spaces,36951182,39725200,2774018,107.5,445.35,City Deal
SP-0254,LA029,Stevenage Borough Council,East of England,2023,Waste Management,37975408,49423300,11447892,130.1,554.07,Levelling Up Fund
SP-0255,LA029,Stevenage Borough Council,East of England,2020,Digital Infrastructure,4521290,5929200,1407910,131.1,66.47,Combined Authority
SP-0256,LA029,Stevenage Borough Council,East of England,2021,Energy & Utilities,39522248,50675600,11153352,128.2,568.11,Combined Authority
SP-0257,LA029,Stevenage Borough Council,East of England,2022,Energy & Utilities,43578673,46019078.69,2440405.69,105.6,516.07,Central Government Grant
SP-0292,LA034,London Borough of Camden,London,2023,Roads & Transport,1789226,1311502.66,-477723.34,73.3,4.99,City Deal
SP-0293,LA034,London Borough of Camden,London,2021,Housing & Planning,30199360,31885600,1686240,105.6,121.19,Mixed Funding
SP-0294,LA034,London Borough of Camden,London,2023,Housing & Planning,5790161,5304900,-485261,91.6,20.16,Local Authority Budget
SP-0295,LA034,London Borough of Camden,London,2019,Flood & Drainage,9506538,6474200,-3032338,68.1,24.61,Combined Authority
SP-0296,LA034,London Borough of Camden,London,2022,Parks & Green Spaces,5656346,4624600,-1031746,81.8,17.58,EU Structural Funds
SP-0297,LA034,London Borough of Camden,London,2023,Parks & Green Spaces,42784995,46816800,4031805,109.4,177.94,Central Government Grant
SP-0298,LA034,London Borough of Camden,London,2020,Waste Management,21173895,25900800,4726905,122.3,98.44,Private Finance Initiative
SP-0299,LA034,London Borough of Camden,London,2022,Digital Infrastructure,23697012,27611900,3914888,116.5,104.95,EU Structural Funds
SP-0300,LA034,London Borough of Camden,London,2023,Energy & Utilities,23394652,28270000,4875348,120.8,107.45,EU Structural Funds
SP-0344,LA040,London Borough of Lambeth,London,2021,Roads & Transport,5702207,3989000,-1713207,70,11.99,Mixed Funding
SP-0345,LA040,London Borough of Lambeth,London,2021,Housing & Planning,20226111,20352700,126589,100.6,61.17,Private Finance Initiative
SP-0346,LA040,London Borough of Lambeth,London,2020,Housing & Planning,36168293,31186100,-4982193,86.2,93.74,Private Finance Initiative
SP-0347,LA040,London Borough of Lambeth,London,2019,Flood & Drainage,14990668,11854500,-3136168,79.1,35.63,EU Structural Funds
SP-0348,LA040,London Borough of Lambeth,London,2021,Parks & Green Spaces,33777075,30549600,-3227475,90.4,91.82,Private Finance Initiative
SP-0349,LA040,London Borough of Lambeth,London,2022,Waste Management,15372752,18670000,3297248,121.4,56.12,Combined Authority
SP-0350,LA040,London Borough of Lambeth,London,2021,Digital Infrastructure,39818031,34532800,-5285231,86.7,103.8,Levelling Up Fund
SP-0351,LA040,London Borough of Lambeth,London,2020,Digital Infrastructure,13440318,13136100,-304218,97.7,39.48,Mixed Funding
SP-0352,LA040,London Borough of Lambeth,London,2021,Energy & Utilities,12180609,8183400,-3997209,67.2,24.6,Mixed Funding
SP-0369,LA043,London Borough of Brent,London,2020,Roads & Transport,30100791,21029800,-9070991,69.9,62.55,Levelling Up Fund
SP-0370,LA043,London Borough of Brent,London,2020,Housing & Planning,9502085,9817000,314915,103.3,29.2,Combined Authority
SP-0371,LA043,London Borough of Brent,London,2021,Housing & Planning,8091856,10678200,2586344,132,31.76,EU Structural Funds
SP-0372,LA043,London Borough of Brent,London,2023,Flood & Drainage,8778547,10500800,1722253,119.6,31.23,Local Authority Budget
SP-0373,LA043,London Borough of Brent,London,2019,Flood & Drainage,30897828,33314900,2417072,107.8,99.09,Combined Authority
SP-0374,LA043,London Borough of Brent,London,2019,Parks & Green Spaces,25400113,20800300,-4599813,81.9,61.87,EU Structural Funds
SP-0375,LA043,London Borough of Brent,London,2020,Parks & Green Spaces,44218379,58307300,14088921,131.9,173.43,Local Authority Budget
SP-0376,LA043,London Borough of Brent,London,2019,Waste Management,9569161,6967500,-2601661,72.8,20.72,Central Government Grant
SP-0377,LA043,London Borough of Brent,London,2021,Digital Infrastructure,9818773,10707200,888427,109,31.85,Local Authority Budget
SP-0378,LA043,London Borough of Brent,London,2021,Energy & Utilities,16658051,15910800,-747251,95.5,47.33,Levelling Up Fund
SP-0379,LA043,London Borough of Brent,London,2023,Energy & Utilities,20111246,26689000,6577754,132.7,79.38,Local Authority Budget
SP-0380,LA044,London Borough of Harrow,London,2021,Roads & Transport,32487114,22437900,-10049214,69.1,89.68,EU Structural Funds
SP-0381,LA044,London Borough of Harrow,London,2023,Housing & Planning,22007648,29327300,7319652,133.3,117.22,Local Authority Budget
SP-0382,LA044,London Borough of Harrow,London,2020,Flood & Drainage,16317839,21811300,5493461,133.7,87.18,Levelling Up Fund
SP-0383,LA044,London Borough of Harrow,London,2019,Flood & Drainage,16288215,13185300,-3102915,80.9,52.7,EU Structural Funds
SP-0384,LA044,London Borough of Harrow,London,2020,Parks & Green Spaces,17149453,20787100,3637647,121.2,83.08,Private Finance Initiative
SP-0385,LA044,London Borough of Harrow,London,2021,Waste Management,39100973,29557500,-9543473,75.6,118.14,Combined Authority
SP-0386,LA044,London Borough of Harrow,London,2021,Digital Infrastructure,25159605,30603600,5443995,121.6,122.32,Combined Authority
SP-0387,LA044,London Borough of Harrow,London,2022,Energy & Utilities,9066183,10324100,1257917,113.9,41.26,Mixed Funding
SP-0421,LA049,Newcastle upon Tyne City Council,North East,2023,Roads & Transport,16448829,21247200,4798371,129.2,70.16,City Deal
SP-0422,LA049,Newcastle upon Tyne City Council,North East,2023,Housing & Planning,43228667,57648000,14419333,133.4,190.37,Mixed Funding
SP-0423,LA049,Newcastle upon Tyne City Council,North East,2020,Flood & Drainage,32525970,37407200,4881230,115,123.53,Local Authority Budget
SP-0424,LA049,Newcastle upon Tyne City Council,North East,2019,Parks & Green Spaces,12397230,11914100,-483130,96.1,39.34,Combined Authority
SP-0425,LA049,Newcastle upon Tyne City Council,North East,2019,Waste Management,24764171,17193300,-7570871,69.4,56.78,Levelling Up Fund
SP-0426,LA049,Newcastle upon Tyne City Council,North East,2021,Waste Management,11926927,13045500,1118573,109.4,43.08,Mixed Funding
SP-0427,LA049,Newcastle upon Tyne City Council,North East,2020,Digital Infrastructure,29738185,34299200,4561015,115.3,113.27,Private Finance Initiative
SP-0428,LA049,Newcastle upon Tyne City Council,North East,2020,Energy & Utilities,40226502,31198600,-9027902,77.6,103.03,Levelling Up Fund
SP-0438,LA051,Gateshead Metropolitan Borough Council,North East,2019,Roads & Transport,29489750,36911000,7421250,125.2,182.91,Levelling Up Fund
SP-0439,LA051,Gateshead Metropolitan Borough Council,North East,2021,Housing & Planning,3100144,3517300,417156,113.5,17.43,Central Government Grant
SP-0440,LA051,Gateshead Metropolitan Borough Council,North East,2022,Flood & Drainage,40442241,43358600,2916359,107.2,214.86,Combined Authority
SP-0441,LA051,Gateshead Metropolitan Borough Council,North East,2023,Parks & Green Spaces,31239677,27076100,-4163577,86.7,134.17,Private Finance Initiative
SP-0442,LA051,Gateshead Metropolitan Borough Council,North East,2019,Waste Management,10219763,7258500,-2961263,71,35.97,Levelling Up Fund
SP-0443,LA051,Gateshead Metropolitan Borough Council,North East,2021,Waste Management,26648666,27438800,790134,103,135.97,EU Structural Funds
SP-0444,LA051,Gateshead Metropolitan Borough Council,North East,2021,Digital Infrastructure,2607901,2534800,-73101,97.2,12.56,EU Structural Funds
SP-0445,LA051,Gateshead Metropolitan Borough Council,North East,2019,Digital Infrastructure,25798754,29328700,3529946,113.7,145.34,Combined Authority
SP-0446,LA051,Gateshead Metropolitan Borough Council,North East,2023,Energy & Utilities,22359202,15074000,-7285202,67.4,74.7,Local Authority Budget
SP-0447,LA052,South Tyneside Metropolitan Borough Council,North East,2021,Roads & Transport,36323223,24774700,-11548523,68.2,167.28,Central Government Grant
SP-0448,LA052,South Tyneside Metropolitan Borough Council,North East,2020,Roads & Transport,39244306,30568800,-8675506,77.9,206.41,Local Authority Budget
SP-0449,LA052,South Tyneside Metropolitan Borough Council,North East,2023,Housing & Planning,41181422,37115200,-4066222,90.1,250.61,Mixed Funding
SP-0450,LA052,South Tyneside Metropolitan Borough Council,North East,2021,Housing & Planning,9024086,10418200,1394114,115.4,70.35,Combined Authority
SP-0451,LA052,South Tyneside Metropolitan Borough Council,North East,2019,Flood & Drainage,3723592,4292300,568708,115.3,28.98,Private Finance Initiative
SP-0452,LA052,South Tyneside Metropolitan Borough Council,North East,2021,Flood & Drainage,18811592,13469800,-5341792,71.6,90.95,EU Structural Funds
SP-0453,LA052,South Tyneside Metropolitan Borough Council,North East,2022,Parks & Green Spaces,13821359,11080300,-2741059,80.2,74.82,Local Authority Budget
SP-0454,LA052,South Tyneside Metropolitan Borough Council,North East,2019,Parks & Green Spaces,3474072,4316300,842228,124.2,29.14,Combined Authority
SP-0455,LA052,South Tyneside Metropolitan Borough Council,North East,2021,Waste Management,9805038,8734000,-1071038,89.1,58.97,Central Government Grant
SP-0456,LA052,South Tyneside Metropolitan Borough Council,North East,2020,Digital Infrastructure,41896051,35738100,-6157951,85.3,241.31,EU Structural Funds
SP-0457,LA052,South Tyneside Metropolitan Borough Council,North East,2023,Energy & Utilities,23636982,25494900,1857918,107.9,172.15,Private Finance Initiative
SP-0458,LA052,South Tyneside Metropolitan Borough Council,North East,2019,Energy & Utilities,3489445,3639700,150255,104.3,24.58,Levelling Up Fund
SP-0494,LA057,Darlington Borough Council,North East,2019,Roads & Transport,14382563,16415700,2033137,114.1,155.45,Combined Authority
SP-0495,LA057,Darlington Borough Council,North East,2023,Housing & Planning,1441092,1425400,-15692,98.9,13.5,Levelling Up Fund
SP-0496,LA057,Darlington Borough Council,North East,2023,Flood & Drainage,8867814,9447500,579686,106.5,89.46,EU Structural Funds
SP-0497,LA057,Darlington Borough Council,North East,2019,Flood & Drainage,22805595,15181000,-7624595,66.6,143.76,Central Government Grant
SP-0498,LA057,Darlington Borough Council,North East,2022,Parks & Green Spaces,27579352,35129800,7550448,127.4,332.67,City Deal
SP-0499,LA057,Darlington Borough Council,North East,2020,Waste Management,29159107,25108400,-4050707,86.1,237.77,Private Finance Initiative
SP-0500,LA057,Darlington Borough Council,North East,2021,Waste Management,21813553,17390900,-4422653,79.7,164.69,Private Finance Initiative
SP-0501,LA057,Darlington Borough Council,North East,2019,Digital Infrastructure,8580558,8393700,-186858,97.8,79.49,EU Structural Funds
SP-0502,LA057,Darlington Borough Council,North East,2023,Energy & Utilities,39992313,37947100,-2045213,94.9,359.35,City Deal
SP-0503,LA058,Durham County Council,North East,2020,Roads & Transport,20845059,24697100,3852041,118.5,46.86,Private Finance Initiative
SP-0504,LA058,Durham County Council,North East,2022,Roads & Transport,20108779,21865200,1756421,108.7,41.49,Central Government Grant
SP-0505,LA058,Durham County Council,North East,2023,Housing & Planning,38176401,36830800,-1345601,96.5,69.89,Mixed Funding
SP-0506,LA058,Durham County Council,North East,2023,Flood & Drainage,31346835,34594200,3247365,110.4,65.64,Central Government Grant
SP-0507,LA058,Durham County Council,North East,2020,Parks & Green Spaces,37032636,26188900,-10843736,70.7,49.69,Combined Authority
SP-0508,LA058,Durham County Council,North East,2019,Waste Management,15528981,11810200,-3718781,76.1,22.41,Private Finance Initiative
SP-0509,LA058,Durham County Council,North East,2021,Waste Management,21945698,23575400,1629702,107.4,44.74,EU Structural Funds
SP-0510,LA058,Durham County Council,North East,2020,Digital Infrastructure,15651274,16456700,805426,105.1,31.23,Local Authority Budget
SP-0511,LA058,Durham County Council,North East,2023,Energy & Utilities,12963262,16985200,4021938,131,32.23,Levelling Up Fund
SP-0512,LA059,Northumberland County Council,North East,2021,Roads & Transport,22593851,22717800,123949,100.5,70.86,Private Finance Initiative
SP-0513,LA059,Northumberland County Council,North East,2019,Housing & Planning,16706208,19245700,2539492,115.2,60.03,Mixed Funding
SP-0514,LA059,Northumberland County Council,North East,2020,Housing & Planning,24729752,20755600,-3974152,83.9,64.74,Mixed Funding
SP-0515,LA059,Northumberland County Council,North East,2021,Flood & Drainage,4518260,6095800,1577540,134.9,19.01,Central Government Grant
SP-0516,LA059,Northumberland County Council,North East,2023,Parks & Green Spaces,2817761,1923200,-894561,68.3,6,City Deal
SP-0517,LA059,Northumberland County Council,North East,2020,Waste Management,33200385,33292500,92115,100.3,103.84,EU Structural Funds
SP-0518,LA059,Northumberland County Council,North East,2022,Digital Infrastructure,41686054,28580500,-13105554,68.6,89.15,EU Structural Funds
SP-0519,LA059,Northumberland County Council,North East,2023,Energy & Utilities,15825350,12621000,-3204350,79.8,39.37,Mixed Funding
SP-0565,LA065,Rochdale Metropolitan Borough Council,North West,2022,Roads & Transport,23875116,18490800,-5384316,77.4,83.67,Levelling Up Fund
SP-0566,LA065,Rochdale Metropolitan Borough Council,North West,2021,Housing & Planning,19875804,17987800,-1888004,90.5,81.39,Mixed Funding
SP-0567,LA065,Rochdale Metropolitan Borough Council,North West,2022,Flood & Drainage,35882330,46989900,11107570,131,212.62,Combined Authority
SP-0568,LA065,Rochdale Metropolitan Borough Council,North West,2019,Parks & Green Spaces,5022934,6133600,1110666,122.1,27.75,Levelling Up Fund
SP-0569,LA065,Rochdale Metropolitan Borough Council,North West,2022,Parks & Green Spaces,9387539,11778600,2391061,125.5,53.3,Mixed Funding
